lngTotalSN,lngYearSN,lngDateSN,strSN,lngL1,lngL2,lngL3,lngL4,lngL5,lngL6,lngL7,lngL8,lngL9,lngL10,lngL11,lngL12,intSum
951,107,20210505,20210505107,,,,,,,,,,,,,0
952,108,20210506,20210506108,,,,,,,,,,,,,0
953,109,20210507,20210507109,,,,,,,,,,,,,0
954,110,20210508,20210508110,,,,,,,,,,,,,0
955,111,20210510,20210510111,,,,,,,,,,,,,0
956,112,20210511,20210511112,,,,,,,,,,,,,0
957,113,20210512,20210512113,,,,,,,,,,,,,0
958,114,20210513,20210513114,,,,,,,,,,,,,0
959,115,20210514,20210514115,,,,,,,,,,,,,0
960,116,20210515,20210515116,,,,,,,,,,,,,0
961,117,20210517,20210517117,,,,,,,,,,,,,0
962,118,20210518,20210518118,,,,,,,,,,,,,0
963,119,20210519,20210519119,,,,,,,,,,,,,0
964,120,20210520,20210520120,,,,,,,,,,,,,0
965,121,20210521,20210521121,,,,,,,,,,,,,0
966,122,20210522,20210522122,,,,,,,,,,,,,0
967,123,20210524,20210524123,,,,,,,,,,,,,0
968,124,20210525,20210525124,,,,,,,,,,,,,0
969,125,20210526,20210526125,,,,,,,,,,,,,0
970,126,20210527,20210527126,,,,,,,,,,,,,0
971,127,20210528,20210528127,,,,,,,,,,,,,0
972,128,20210529,20210529128,,,,,,,,,,,,,0
973,129,20210531,20210531129,,,,,,,,,,,,,0
974,130,20210601,20210601130,,,,,,,,,,,,,0
975,131,20210602,20210602131,,,,,,,,,,,,,0
976,132,20210603,20210603132,,,,,,,,,,,,,0
977,133,20210604,20210604133,,,,,,,,,,,,,0
978,134,20210605,20210605134,,,,,,,,,,,,,0
979,135,20210607,20210607135,,,,,,,,,,,,,0
980,136,20210608,20210608136,,,,,,,,,,,,,0
981,137,20210609,20210609137,,,,,,,,,,,,,0
982,138,20210610,20210610138,,,,,,,,,,,,,0
983,139,20210611,20210611139,,,,,,,,,,,,,0
984,140,20210612,20210612140,,,,,,,,,,,,,0
985,141,20210614,20210614141,,,,,,,,,,,,,0
986,142,20210615,20210615142,,,,,,,,,,,,,0
987,143,20210616,20210616143,,,,,,,,,,,,,0
988,144,20210617,20210617144,,,,,,,,,,,,,0
989,145,20210618,20210618145,,,,,,,,,,,,,0
990,146,20210619,20210619146,,,,,,,,,,,,,0
991,147,20210621,20210621147,,,,,,,,,,,,,0
992,148,20210622,20210622148,,,,,,,,,,,,,0
993,149,20210623,20210623149,,,,,,,,,,,,,0
994,150,20210624,20210624150,,,,,,,,,,,,,0
995,151,20210625,20210625151,,,,,,,,,,,,,0
996,152,20210626,20210626152,,,,,,,,,,,,,0
997,153,20210628,20210628153,,,,,,,,,,,,,0
998,154,20210629,20210629154,,,,,,,,,,,,,0
999,155,20210630,20210630155,,,,,,,,,,,,,0
1000,156,20210701,20210701156,,,,,,,,,,,,,0
1001,157,20210702,20210702157,,,,,,,,,,,,,0
1002,158,20210703,20210703158,,,,,,,,,,,,,0
1003,159,20210705,20210705159,,,,,,,,,,,,,0
1004,160,20210706,20210706160,,,,,,,,,,,,,0
1005,161,20210707,20210707161,,,,,,,,,,,,,0
1006,162,20210708,20210708162,,,,,,,,,,,,,0
1007,163,20210709,20210709163,,,,,,,,,,,,,0
1008,164,20210710,20210710164,,,,,,,,,,,,,0
1009,165,20210712,20210712165,,,,,,,,,,,,,0
1010,166,20210713,20210713166,,,,,,,,,,,,,0
1011,167,20210714,20210714167,,,,,,,,,,,,,0
1012,168,20210715,20210715168,,,,,,,,,,,,,0
1013,169,20210716,20210716169,,,,,,,,,,,,,0
1014,170,20210717,20210717170,,,,,,,,,,,,,0
1015,171,20210719,20210719171,,,,,,,,,,,,,0
1016,172,20210720,20210720172,,,,,,,,,,,,,0
1017,173,20210721,20210721173,,,,,,,,,,,,,0
1018,174,20210722,20210722174,,,,,,,,,,,,,0
1019,175,20210723,20210723175,,,,,,,,,,,,,0
1020,176,20210724,20210724176,,,,,,,,,,,,,0
1021,177,20210726,20210726177,,,,,,,,,,,,,0
1022,178,20210727,20210727178,,,,,,,,,,,,,0
1023,179,20210728,20210728179,,,,,,,,,,,,,0
1024,180,20210729,20210729180,,,,,,,,,,,,,0
1025,181,20210730,20210730181,,,,,,,,,,,,,0
1026,182,20210731,20210731182,,,,,,,,,,,,,0
1027,183,20210802,20210802183,,,,,,,,,,,,,0
1028,184,20210803,20210803184,,,,,,,,,,,,,0
1029,185,20210804,20210804185,,,,,,,,,,,,,0
1030,186,20210805,20210805186,,,,,,,,,,,,,0
1031,187,20210806,20210806187,,,,,,,,,,,,,0
1032,188,20210807,20210807188,,,,,,,,,,,,,0
1033,189,20210809,20210809189,,,,,,,,,,,,,0
1034,190,20210810,20210810190,,,,,,,,,,,,,0
1035,191,20210811,20210811191,,,,,,,,,,,,,0
1036,192,20210812,20210812192,,,,,,,,,,,,,0
1037,193,20210813,20210813193,,,,,,,,,,,,,0
1038,194,20210814,20210814194,,,,,,,,,,,,,0
1039,195,20210816,20210816195,,,,,,,,,,,,,0
1040,196,20210817,20210817196,,,,,,,,,,,,,0
1041,197,20210818,20210818197,,,,,,,,,,,,,0
1042,198,20210819,20210819198,,,,,,,,,,,,,0
1043,199,20210820,20210820199,,,,,,,,,,,,,0
1044,200,20210821,20210821200,,,,,,,,,,,,,0
1045,201,20210823,20210823201,,,,,,,,,,,,,0
1046,202,20210824,20210824202,,,,,,,,,,,,,0
1047,203,20210825,20210825203,,,,,,,,,,,,,0
1048,204,20210826,20210826204,,,,,,,,,,,,,0
1049,205,20210827,20210827205,,,,,,,,,,,,,0
1050,206,20210828,20210828206,,,,,,,,,,,,,0
1051,207,20210830,20210830207,,,,,,,,,,,,,0
1052,208,20210831,20210831208,,,,,,,,,,,,,0
1053,209,20210901,20210901209,,,,,,,,,,,,,0
1054,210,20210902,20210902210,,,,,,,,,,,,,0
1055,211,20210903,20210903211,,,,,,,,,,,,,0
1056,212,20210904,20210904212,,,,,,,,,,,,,0
1057,213,20210906,20210906213,,,,,,,,,,,,,0
1058,214,20210907,20210907214,,,,,,,,,,,,,0
1059,215,20210908,20210908215,,,,,,,,,,,,,0
1060,216,20210909,20210909216,,,,,,,,,,,,,0
1061,217,20210910,20210910217,,,,,,,,,,,,,0
1062,218,20210911,20210911218,,,,,,,,,,,,,0
1063,219,20210913,20210913219,,,,,,,,,,,,,0
1064,220,20210914,20210914220,,,,,,,,,,,,,0
1065,221,20210915,20210915221,,,,,,,,,,,,,0
1066,222,20210916,20210916222,,,,,,,,,,,,,0
1067,223,20210917,20210917223,,,,,,,,,,,,,0
1068,224,20210918,20210918224,,,,,,,,,,,,,0
1069,225,20210920,20210920225,,,,,,,,,,,,,0
1070,226,20210921,20210921226,,,,,,,,,,,,,0
1071,227,20210922,20210922227,,,,,,,,,,,,,0
1072,228,20210923,20210923228,,,,,,,,,,,,,0
1073,229,20210924,20210924229,,,,,,,,,,,,,0
1074,230,20210925,20210925230,,,,,,,,,,,,,0
1075,231,20210927,20210927231,,,,,,,,,,,,,0
1076,232,20210928,20210928232,,,,,,,,,,,,,0
1077,233,20210929,20210929233,,,,,,,,,,,,,0
1078,234,20210930,20210930234,,,,,,,,,,,,,0
1079,235,20211001,20211001235,,,,,,,,,,,,,0
1080,236,20211002,20211002236,,,,,,,,,,,,,0
1081,237,20211004,20211004237,,,,,,,,,,,,,0
1082,238,20211005,20211005238,,,,,,,,,,,,,0
1083,239,20211006,20211006239,,,,,,,,,,,,,0
1084,240,20211007,20211007240,,,,,,,,,,,,,0
1085,241,20211008,20211008241,,,,,,,,,,,,,0
1086,242,20211009,20211009242,,,,,,,,,,,,,0
1087,243,20211011,20211011243,,,,,,,,,,,,,0
1088,244,20211012,20211012244,,,,,,,,,,,,,0
1089,245,20211013,20211013245,,,,,,,,,,,,,0
1090,246,20211014,20211014246,,,,,,,,,,,,,0
1091,247,20211015,20211015247,,,,,,,,,,,,,0
1092,248,20211016,20211016248,,,,,,,,,,,,,0
1093,249,20211018,20211018249,,,,,,,,,,,,,0
1094,250,20211019,20211019250,,,,,,,,,,,,,0
1095,251,20211020,20211020251,,,,,,,,,,,,,0
1096,252,20211021,20211021252,,,,,,,,,,,,,0
1097,253,20211022,20211022253,,,,,,,,,,,,,0
1098,254,20211023,20211023254,,,,,,,,,,,,,0
1099,255,20211025,20211025255,,,,,,,,,,,,,0
1100,256,20211026,20211026256,,,,,,,,,,,,,0
1101,257,20211027,20211027257,,,,,,,,,,,,,0
1102,258,20211028,20211028258,,,,,,,,,,,,,0
1103,259,20211029,20211029259,,,,,,,,,,,,,0
1104,260,20211030,20211030260,,,,,,,,,,,,,0
1105,261,20211101,20211101261,,,,,,,,,,,,,0
1106,262,20211102,20211102262,,,,,,,,,,,,,0
1107,263,20211103,20211103263,,,,,,,,,,,,,0
1108,264,20211104,20211104264,,,,,,,,,,,,,0
1109,265,20211105,20211105265,,,,,,,,,,,,,0
1110,266,20211106,20211106266,,,,,,,,,,,,,0
1111,267,20211108,20211108267,,,,,,,,,,,,,0
1112,268,20211109,20211109268,,,,,,,,,,,,,0
1113,269,20211110,20211110269,,,,,,,,,,,,,0
1114,270,20211111,20211111270,,,,,,,,,,,,,0
1115,271,20211112,20211112271,,,,,,,,,,,,,0
1116,272,20211113,20211113272,,,,,,,,,,,,,0
1117,273,20211115,20211115273,,,,,,,,,,,,,0
